RGB: 0, 255, 0
(4, 3, 2x2)
(9, 5, 2x2)
(6, 7, 2x2)
RGB: 20, 200, 20
(5, 0, 2x1)
(12, 0, 2x1)
(15, 0, 1x1)
(2, 1, 6x2)
(10, 2, 1x1)
(11, 1, 4x6)
(15, 1, 1x5)
(16, 1, 1x2)
(17, 2, 1x1)
(1, 3, 3x2)
(6, 3, 5x2)
(16, 4, 1x1)
(1, 5, 1x1)
(2, 5, 4x3)
(6, 5, 3x2)
(8, 7, 7x3)
(15, 7, 1x1)
(3, 8, 1x1)
(4, 8, 2x2)
(6, 9, 2x2)
(8, 10, 2x2)
(10, 10, 1x1)
RGB: 100, 150, 20
(2, 0, 3x1)
(1, 1, 1x2)
(0, 2, 1x3)
(16, 3, 1x1)
(16, 5, 1x1)
(17, 3, 1x3)
(15, 6, 3x1)
(1, 7, 1x1)
(16, 7, 2x3)
(18, 8, 1x1)
(15, 8, 1x2)
(16, 10, 1x1)
(0, 8, 1x3)
(3, 9, 1x3)
(1, 8, 2x4)
(4, 10, 1x1)
RGB: 89, 0, 0
(5, 10, 1x1)
(11, 10, 3x1)
(4, 11, 4x1)
(10, 11, 2x1)
(8, 12, 2x1)
(8, 13, 1x4)
(10, 14, 1x3)
RGB: 101, 67, 33
(5, 12, 1x1)
(6, 12, 1x2)
(7, 12, 1x5)
(10, 12, 3x2)
(9, 13, 1x4)
(12, 11, 1x1)
(13, 11, 1x2)
(11, 14, 1x3)
(6, 17, 6x2)
(5, 18, 1x1)
(6, 19, 1x1)
(8, 19, 2x1)
(12, 18, 1x2)
