RGB: 0, 0, 0
(6, 0, 4x1)
(5, 1, 1x1)
(10, 1, 2x1)
(4, 2, 1x1)
(12, 2, 1x1)
(1, 3, 1x1)
(3, 3, 2x1)
(11, 3, 1x1)
(13, 3, 2x1)
(0, 4, 1x4)
(2, 4, 1x2)
(4, 4, 2x1)
(10, 4, 2x1)
(13, 4, 1x1)
(15, 4, 1x4)
(6, 5, 4x1)
(12, 5, 2x1)
(3, 6, 1x1)
(12, 6, 1x1)
(2, 7, 1x1)
(4, 7, 8x1)
(13, 7, 1x1)
(1, 8, 1x1)
(3, 8, 1x1)
(12, 8, 1x1)
(14, 8, 1x1)
(2, 9, 1x1)
(13, 9, 1x1)
(6, 9, 1x2)
(9, 9, 1x2)
(2, 10, 2x1)
(12, 10, 2x1)
(4, 11, 1x1)
(11, 11, 1x1)
(14, 11, 1x1)
(9, 12, 2x1)
(13, 12, 1x1)
(15, 12, 1x5)
(7, 13, 2x1)
(12, 13, 1x3)
(13, 14, 1x1)
(7, 15, 1x1)
(9, 16, 1x1)
(13, 16, 1x1)
(7, 17, 1x1)
(12, 17, 3x1)
(6, 18, 1x1)
(10, 18, 2x1)
(13, 18, 1x2)
(5, 19, 1x2)
(4, 20, 1x1)
(10, 20, 1x2)
(11, 20, 1x1)
RGB: 20, 73, 0
(6, 1, 2x1)
(9, 1, 1x1)
(5, 2, 2x1)
(11, 2, 1x1)
(6, 3, 2x1)
(9, 3, 1x1)
(12, 3, 1x2)
RGB: 38, 142, 0
(8, 1, 1x1)
(7, 2, 4x1)
(8, 3, 1x1)
RGB: 165, 93, 16
(5, 3, 1x1)
(6, 4, 4x1)
(10, 3, 1x1)
(1, 6, 1x2)
(14, 6, 1x2)
(2, 8, 1x1)
(4, 8, 1x3)
(7, 8, 2x1)
(11, 8, 1x3)
(5, 11, 1x1)
(10, 11, 1x1)
(8, 12, 1x1)
(14, 12, 1x1)
(13, 13, 1x1)
(13, 8, 1x1)
(12, 9, 1x1)
(3, 9, 1x1)
RGB: 239, 62, 210
(3, 4, 1x1)
(3, 5, 3x1)
(10, 5, 2x1)
(4, 6, 8x1)
RGB: 249, 213, 162
(1, 4, 1x2)
(14, 4, 1x2)
(2, 6, 1x1)
(13, 6, 1x1)
(3, 7, 1x1)
(12, 7, 1x1)
(7, 9, 2x2)
(5, 10, 1x1)
(10, 10, 1x1)
(7, 11, 3x1)
(14, 14, 1x3)
(13, 15, 1x1)
(11, 19, 1x1)
RGB: 186, 186, 186
(1, 11, 1x1)
(6, 11, 1x1)
(0, 12, 1x6)
(2, 12, 4x1)
(7, 12, 1x1)
(7, 14, 1x1)
(7, 16, 1x1)
(1, 18, 1x1)
(2, 19, 1x1)
(3, 20, 1x1)
RGB: 12, 84, 173
(12, 11, 1x2)
(11, 12, 1x4)
(9, 13, 1x1)
(9, 15, 2x1)
(12, 16, 1x1)
(10, 17, 2x1)
(7, 18, 3x1)
(2, 14, 4x1
(2, 15, 1x3)
(5, 15, 1x3)
(3, 18, 2x1)
RGB: 112, 171, 244
(13, 11, 1x1)
(10, 13, 1x2)
(8, 14, 2x1)
(8, 15, 1x1)
(3, 15, 2x3)
RGB: 242, 230, 0
(8, 18, 1x1)
(10, 16, 2x1)
(8, 17, 2x1)
RGB: 255, 0, 0
(12, 18, 1x1)
(10, 19, 1x1) 
